referencia,transcricao_simulada
"""Ótimo. Vamos falar sobre um incidente ocorrido no parque da Praça do Comércio na noite do dia 3 de dezembro, por volta das 22h. A senhora Maria Costa relatou que foi agredida enquanto caminhava pelo parque. Estamos aqui para entender melhor o que aconteceu. Está disposto a colaborar e esclarecer os fatos?""","""Ótimo. Vamos ERRO sobre um incidente no parque da Praça do Comércio na noite ERRO dia 3 de dezembro, por volta das ERRO A senhora Maria Costa relatou que foi agredida enquanto caminhava pelo parque. ERRO aqui para entender melhor o que aconteceu. disposto a ERRO e esclarecer os fatos?"""
"""Sim, claro, mas eu não fiz nada.""","EXTRA ""Sim, claro, mas eu não fiz nada."""
"""Antes de mais nada, onde o senhor estava por volta das 22h do dia 3 de dezembro? Pode me dizer onde esteve?""","""Antes de mais nada, onde o senhor estava EXTRA EXTRA por volta das 22h do dia 3 de dezembro? EXTRA Pode ERRO dizer onde esteve?"""
"""Eu estava no bar ‘O Ponto Azul’, perto do meu apartamento. Fui lá para tomar umas cervejas com uns amigos, mas ninguém pode confirmar.""","""Eu estava bar ‘O Ponto Azul’, do meu apartamento. EXTRA Fui lá para tomar umas cervejas com uns amigos, mas ERRO pode confirmar."""
"""Entendido. E sabe se alguém viu o senhor lá naquela noite? Qual era o nome das pessoas com quem estava?""","""Entendido. E sabe se alguém viu EXTRA o senhor lá naquela Qual era o nome das pessoas EXTRA com quem estava?"""
"""Eu estava sozinho lá, não me lembro de ninguém ter me visto. Só tomei umas cervejas e depois fui embora.""","""Eu estava sozinho ERRO me lembro de ninguém ter me Só tomei umas cervejas e depois fui embora."""
"""A senhora Maria Costa descreveu que foi empurrada e agredida por um homem que estava com um casaco escuro e calças jeans, e que se aproximou dela rapidamente enquanto caminhava no parque. Ela nos disse que se sentiu ameaçada e que o agressor tinha uma aparência muito semelhante à sua. O que tem a dizer sobre isso?""","""A senhora Maria EXTRA Costa descreveu que foi empurrada e agredida por um homem que estava com um EXTRA casaco escuro e calças jeans, e que se aproximou dela ERRO caminhava no parque. Ela nos disse que sentiu ameaçada e EXTRA que o agressor tinha uma ERRO muito semelhante à ERRO O ERRO tem a sobre isso?"""
"""Eu não fiz nada disso! Estava no bar, como já disse.""","""Eu não fiz nada disso! Estava no bar, já EXTRA disse."""
"""Temos imagens das câmeras de segurança na área próxima ao local do incidente. O senhor pode ver nesta gravação que um homem, com características muito semelhantes às suas, estava andando perto de onde a senhora foi agredida minutos antes. Como o senhor explica isso?""","""Temos imagens das câmeras de segurança na área próxima ao do ERRO O senhor EXTRA pode ver nesta gravação que um homem, EXTRA com características ERRO semelhantes às suas, estava andando perto de onde a EXTRA senhora foi agredida minutos antes. Como o EXTRA senhor explica"
"""Eu só passei por lá. Eu nem vi a mulher. Não sou eu nas câmeras, deve ser alguém parecido.""","""Eu só por EXTRA lá. Eu nem vi a mulher. Não sou EXTRA eu nas câmeras, deve ser alguém parecido."""
"""Mas a senhora relatou que foi empurrada de forma agressiva e que não havia mais ninguém ao redor. Se o senhor estava apenas passando, como explica que a vítima tenha reconhecido alguém tão parecido com você?""","""Mas a EXTRA relatou que EXTRA foi empurrada de EXTRA forma agressiva e que não havia mais ERRO ao redor. Se o senhor estava apenas passando, como explica que a vítima tenha reconhecido alguém ERRO parecido com você?"""
"""Não sei, talvez ela tenha se confundido. Eu estava passando de boa, não vi ninguém. Não tenho nada a ver com isso.""","""Não sei, ela tenha se confundido. estava passando boa, não vi ninguém. Não tenho EXTRA nada a ver com isso."""
"""E quanto à descrição do agressor, que, segundo a vítima, estava esperando por ela e parecia conhecê-la? Como o senhor explica isso?""","""E ERRO à descrição do agressor, ERRO segundo a vítima, estava por ela e parecia conhecê-la? Como o senhor explica isso?"""
"""Eu não conheço essa mulher. Eu estava indo para casa depois de sair do bar, não vi ninguém esperando ninguém no parque.""","""Eu não ERRO essa mulher. Eu EXTRA estava indo para casa EXTRA depois de sair do EXTRA bar, não vi ninguém esperando ninguém no parque."""
"""O senhor tem algum histórico de agressões ou problemas com a justiça?""","""O senhor tem algum histórico EXTRA agressões ou problemas com a justiça?"""
"""Não, nunca fiz nada disso. Só estou tentando viver minha vida, como todo mundo.""","""Não, EXTRA EXTRA nunca fiz nada disso. Só estou tentando viver ERRO vida, como todo mundo."""
"""Entendido. E quanto ao bar, o senhor não tem ninguém que possa confirmar que esteve lá naquela noite? Alguma testemunha, por exemplo?""","""Entendido. E quanto EXTRA ao bar, o não tem ninguém que possa que EXTRA esteve lá naquela noite? Alguma testemunha, por exemplo?"""
"""Não, como disse, estava sozinho. Só bebi umas cervejas e fui embora.""","""Não, como disse, estava sozinho. Só umas cervejas e fui embora."""
"""João, agradeço pela sua colaboração até aqui. A gravação será analisada juntamente com as outras evidências. Se tiver algo mais a acrescentar ou ajustar em sua declaração, este é o momento.""","agradeço EXTRA pela colaboração até aqui. A gravação será analisada ERRO com as outras evidências. Se EXTRA tiver algo mais a acrescentar ou ajustar em sua declaração, este é o momento."""
"""Não tenho mais nada a dizer. Eu já falei a verdade.""","""Não tenho mais nada a dizer. Eu já EXTRA EXTRA falei a verdade."""
"""Perfeito, então. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo e pela cooperação.""","""Perfeito, então. O EXTRA senhor será informado os próximos passos do processo. Obrigado pelo seu tempo e pela"
"""Boa tarde, Carlos Almeida. Esta entrevista está sendo gravada. O senhor tem o direito de permanecer em silêncio e de contar com a presença de um advogado durante todo o processo. Está ciente de seus direitos?""","""Boa Carlos Almeida. Esta entrevista está gravada. EXTRA O senhor tem ERRO direito de permanecer em silêncio de contar com a presença de um advogado durante todo o processo. Está ciente de seus EXTRA direitos?"""
"""Sim, entendi.""","""Sim, entendi."""
"""Perfeito. Vamos tratar de um incidente ocorrido na loja de joias 'Ouro e Prata', no centro de Lisboa, no dia 10 de novembro, por volta das 15h. A funcionária Ana Santos relatou que o senhor esteve na loja e retirou um relógio de luxo da vitrine, saindo sem pagar. Estamos aqui para esclarecer o que aconteceu. O senhor está disposto a colaborar e esclarecer os fatos?""","""Perfeito. Vamos tratar de um incidente ocorrido na loja de joias 'Ouro e ERRO no centro de Lisboa, no dia de novembro, ERRO volta das 15h. funcionária EXTRA Ana Santos relatou que o senhor esteve na loja retirou um relógio de luxo da saindo sem pagar. Estamos aqui para esclarecer EXTRA o que aconteceu. ERRO O senhor está disposto colaborar ERRO esclarecer os fatos?"""
"""Eu não fiz nada disso! Nunca roubei nada!""","""Eu não fiz nada ERRO Nunca roubei nada!"""
"""Antes de começarmos, Carlos, onde o senhor estava por volta das 15h do dia 10 de novembro? Pode me dizer onde esteve?""","""Antes de começarmos, Carlos, ERRO ERRO senhor estava por volta das 15h do dia 10 de ERRO Pode EXTRA me dizer onde esteve?"""
"""Eu estava na rua, fazendo umas compras. Estava indo para o supermercado, depois fui para casa.""","estava na rua, fazendo umas compras. Estava indo para o supermercado, depois ERRO casa."""
"""Entendido. E foi no caminho até o supermercado que o senhor passou pela loja de joias? Ou estava lá com algum outro propósito?""","""Entendido. E foi no caminho até EXTRA o supermercado que o senhor EXTRA passou pela EXTRA loja de ERRO Ou estava lá com algum outro propósito?"""
"""Eu estava só passando por lá. Não entrei em nenhuma loja de joias. Eu sou bem tranquilo, nunca faria algo assim.""","""Eu estava ERRO passando por lá. Não entrei em nenhuma EXTRA loja de joias. Eu sou bem tranquilo, nunca EXTRA faria algo assim."""
"""A senhora Ana Santos nos disse que o senhor esteve exatamente perto da vitrine onde estava o relógio roubado e que, após o senhor sair da loja, o relógio não estava mais lá. Além disso, temos as imagens de câmeras de segurança que mostram um homem com características semelhantes às suas retirando o relógio e saindo da loja. O que o senhor tem a dizer sobre isso?""","""A senhora Ana Santos nos disse que o senhor esteve exatamente perto da vitrine onde estava EXTRA o relógio ERRO ERRO EXTRA que, após o senhor sair da loja, o relógio não estava mais EXTRA lá. Além disso, temos as imagens de de segurança que mostram um com EXTRA características semelhantes às suas retirando o relógio EXTRA e saindo da loja. O EXTRA que o senhor tem a dizer isso?"""
"""Isso é mentira! Eu nunca toquei nesse relógio! Se a câmera mostrou alguém parecido comigo, deve ter sido alguém com uma roupa parecida, mas não fui eu!""","""Isso é mentira! Eu nunca toquei nesse ERRO Se a câmera mostrou alguém parecido EXTRA comigo, deve ter sido alguém com uma ERRO parecida, ERRO fui eu!"""
"""Mas sabemos que o relógio foi encontrado em sua posse. Como o senhor explica isso?""","""Mas sabemos que o relógio foi em sua posse. o senhor explica EXTRA isso?"""
"""Eu… eu comprei o relógio. Foi de um amigo, o João. Ele me vendeu por um preço bom, eu até fiquei surpreso com o preço.""","""Eu… eu o relógio. Foi de um amigo, o João. ERRO me vendeu por um preço bom, eu até fiquei com o preço."""
"""Interessante. O senhor diz que comprou o relógio, mas não tem nenhuma prova dessa compra, como um recibo ou testemunha. O senhor pode nos dar mais detalhes sobre o ‘João’ que lhe vendeu o relógio?""","""Interessante. EXTRA O diz que comprou o relógio, mas não tem nenhuma dessa compra, como um recibo ou testemunha. O senhor pode nos dar mais detalhes sobre o ‘João’ EXTRA que vendeu EXTRA o relógio?"""
"""Ah, o João é um conhecido meu. Eu não tenho detalhes, ele me vendeu o relógio numa boa, eu não sabia que ele era roubado!""","""Ah, o João é um conhecido meu. Eu não tenho detalhes, ele me vendeu ERRO numa boa, eu não EXTRA sabia ele era roubado!"""
"""Mas então, por que o senhor não procurou a loja para verificar a origem do relógio? E por que não fez a compra de forma mais transparente? Não parece um pouco estranho comprar algo de um amigo sem questionar a origem?""","""Mas então, por que o senhor não procurou a ERRO para verificar a do relógio? E por que EXTRA ERRO fez a compra de ERRO mais transparente? Não parece um pouco estranho comprar algo de um amigo sem EXTRA questionar a origem?"""
"""Eu não pensei nisso na hora. Eu só queria o relógio, achei que estava fazendo um bom negócio. Nunca pensei que fosse algo errado.""","""Eu não pensei nisso ERRO hora. Eu só queria o relógio, EXTRA achei que estava fazendo bom negócio. Nunca pensei que fosse ERRO errado."""
"""O senhor tem algum histórico de envolvimento com furtos ou qualquer outro crime?""","""O senhor EXTRA tem algum histórico de envolvimento com furtos ou ERRO outro crime?"""
"""Não, nunca. Eu sou um cara tranquilo, trabalho todos os dias e não me envolvo com esse tipo de coisa.""","""Não, nunca. Eu ERRO ERRO cara tranquilo, trabalho todos ERRO dias ERRO não me envolvo com esse tipo de coisa."""
"""Entendido. Mas o senhor sabia que estar em posse de um item roubado é um crime, mesmo que não tenha sido o responsável pelo roubo? Como o senhor se sente sabendo que foi encontrado com o relógio que foi furtado?""","""Entendido. Mas o senhor que estar em posse de um EXTRA item roubado é EXTRA um crime, mesmo que não tenha sido o responsável pelo roubo? ERRO o EXTRA senhor se sabendo que foi encontrado com o relógio que foi"
"""Eu não sabia, eu só queria o relógio. Eu nunca tive a intenção de roubar nada.""","""Eu não sabia, eu EXTRA só queria o relógio. EXTRA Eu nunca tive EXTRA a intenção de roubar nada."""
"""Agradeço pela sua colaboração, Carlos. Esta gravação será analisada junto com as outras evidências. Se o senhor tiver algo mais a acrescentar ou ajustar na sua versão, este é o momento.""","""Agradeço pela sua colaboração, Carlos. ERRO gravação será analisada junto as outras EXTRA evidências. ERRO senhor tiver algo mais a acrescentar ou ajustar na ERRO versão, este é o momento."""
"""Eu só queria o relógio, não sabia que estava roubado. Eu não fiz nada de errado, por favor, acredite em mim.""","""Eu ERRO ERRO o relógio, não sabia que estava roubado. Eu não fiz nada de ERRO errado, por favor, acredite em mim."""
